Species,Nearshore_Offshore,Benthic_Pelagic,Depth_m,Length_mm,H2Opercent,THg_ppb,Cd_ppm,Cr_ppm,Cu_ppm,Mg_ppm,Mn_ppm,Pb_ppm,Zn_ppm
Deepwater Sculpin,Offshore,Benthic,91,96,0.808993546,78.24,2.760458403,58.96419842,84.77392234,95151.26347,135.3599412,12.16463878,1946.431227
Round Goby,Nearshore,Benthic,10,90,0.803178,33.48,2.804092496,91.8220949,48.00893317,37717.24904,39.21385768,8.182862955,961.8347
Alewife,Offshore,Pelagic,10,171,0.824912203,82.98,2.859751191,37.77715646,158.6607543,97034.1246,130.9155479,-3.156044042,4545.670113
Alewife,Offshore,Pelagic,18,145,0.835075271,82,2.99724642,38.8127846,148.3674864,109163.6056,141.1473989,5.647674085,2378.403354
Round Goby,Nearshore,Benthic,18,110,0.797265161,33.72,3.000611748,91.91623943,46.40947186,50494.26641,37.6852344,2.968832063,1339.895246
Slimy Sculpin,Offshore,Benthic,46,73,0.758667573,45.04,3.011321106,61.8109309,114.406556,81789.51222,91.19956456,7.549710886,1904.548671
Slimy Sculpin,Offshore,Benthic,110,115,0.806578587,106.46,3.018671129,100.4228728,74.80584701,57831.6673,109.3315171,9.86093502,528.9569637
Bloater,Nearshore,Benthic/Pelagic,110,192,0.769043572,143.7,3.02770837,47.39629841,137.9314461,99381.44104,67.86998689,-6.911823854,1140.21433
Deepwater Sculpin,Offshore,Benthic,91,118,0.804610612,104.34,3.028863029,40.90799931,71.76327029,91018.83002,61.07462779,-4.042619196,1324.438818
Deepwater Sculpin,Offshore,Benthic,91,105,0.817057292,124.76,3.032522608,40.76859174,103.8671606,89605.76943,124.2423359,2.97774835,1779.034469
Alewife,Offshore,Pelagic,46,146,0.749991278,43.76,3.058873409,49.74868752,124.909383,82654.48904,81.19330701,1.838358396,1436.292817
Slimy Sculpin,Offshore,Benthic,91,96,0.776287322,65.21,3.062891524,6.892794218,106.8657371,78403.23591,35.28961825,2.000443862,999.2604822
Round Goby,Nearshore,Benthic,46,81,0.785073729,28.24,3.064011081,11.41143767,67.95577783,86253.97771,162.8780419,-0.290017153,836.8461044
Alewife,Offshore,Pelagic,10,172,0.824479341,108.44,3.101494843,25.06638788,148.7415465,102487.4847,119.5562755,-1.575274493,7702.469964
Alewife,Offshore,Pelagic,8,125,0.795086138,56.45,3.108661452,42.58494949,217.2955921,88950.66661,135.0232851,-5.711782819,5132.641195
Alewife,Offshore,Pelagic,46,96,0.770500628,5.21,3.137580069,71.14659784,198.8658245,96935.12126,83.83272559,2.300290718,1962.649113
Alewife,Offshore,Pelagic,18,129,0.816475566,52.94,3.152782048,27.21532513,162.0471167,119265.3644,72.32103104,2.307126162,1717.171829
Alewife,Offshore,Pelagic,16,135,0.841125132,43.6,3.159430687,26.71661469,134.553421,91937.42422,93.28930162,-4.148894431,5220.702724
Bloater,Nearshore,Benthic/Pelagic,73,101,0.786536603,27.74,3.277037104,31.22283662,114.1425932,94526.91823,58.774579,3.233882496,1608.295965
Alewife,Offshore,Pelagic,18,120,0.814596255,51.82,3.318743894,34.27110777,185.6923297,116036.0472,193.4047567,1.640304724,2621.798286
Round Goby,Nearshore,Benthic,10,72,0.830640866,53.7,3.322157335,50.01949742,97.67771615,93537.13727,150.4668226,-1.609114782,621.6462585
Alewife,Offshore,Pelagic,18,162,0.839594885,63.04,3.39080141,30.92465423,143.4449779,118823.7998,80.71220359,-2.204412026,2477.913228
Bloater,Nearshore,Benthic/Pelagic,91,179,0.769166623,71.72,3.414662851,31.58915375,115.9015012,87011.43344,40.76114834,-3.741440181,1182.351941
Alewife,Offshore,Pelagic,46,148,0.754907459,55.62,3.42739692,45.12467586,109.1271098,90018.80384,78.23146617,-3.822521825,1839.047826
Bloater,Nearshore,Benthic/Pelagic,110,205,0.776878895,124.29,3.455967373,23.27254759,107.8394038,88681.81129,36.30168715,-1.925192317,3926.590315
Round Goby,Nearshore,Benthic,46,81,0.793108328,20.74,3.464137605,33.92147591,78.52332221,95390.28591,50.41516614,-5.934645348,979.5241853
Bloater,Nearshore,Benthic/Pelagic,110,194,0.779774192,128.29,3.470678376,43.49515915,96.04289525,87701.85219,1.695225671,-3.486624907,1396.894071
Bloater,Nearshore,Benthic/Pelagic,73,105,0.783294743,27.89,3.479677918,35.49240986,116.0012457,102322.2952,60.80521258,-0.462136406,1682.788216
Deepwater Sculpin,Offshore,Benthic,110,114,0.813592526,100.46,3.492576729,44.72210065,81.65536803,89270.16637,78.51410181,2.364728516,1230.847014
Alewife,Offshore,Pelagic,46,156,0.76956869,60.54,3.606409731,25.04220107,138.9672493,93383.13539,62.23135877,-0.855233141,2420.583533
Alewife,Offshore,Pelagic,18,134,0.835664555,55.38,3.622313457,34.99281223,153.7243398,105939.0848,134.2413911,-11.2981116,1997.36886
